Date,Price,Open,High,Low,Vol.,Change %
7/15/2015,15172.9,15655.60,15862.50,15172.90,11.56M,-3.08%
7/16/2015,14897,14897.00,15103.90,14690.10,6.72M,-1.82%
7/17/2015,15034.9,14966.00,15310.80,14897.00,2.85M,0.93%
7/20/2015,15310.8,14828.00,15379.80,14690.10,3.94M,1.84%
7/21/2015,15310.8,15310.80,15655.60,15172.90,5.34M,0.00%
7/22/2015,15862.5,15310.80,15862.50,15172.90,5.11M,3.60%
7/23/2015,15724.6,15931.50,16207.40,15724.60,6.60M,-0.87%
7/24/2015,15655.6,15655.60,15793.60,15517.70,2.85M,-0.44%
7/27/2015,15862.5,15586.70,16069.40,15586.70,3.68M,1.32%
7/28/2015,15862.5,15862.50,16138.40,15862.50,5.64M,0.00%
7/29/2015,15517.7,15862.50,16000.50,15517.70,4.57M,-2.17%
7/30/2015,15724.6,15586.70,15793.60,15379.80,2.68M,1.33%
7/31/2015,15517.7,15931.50,15931.50,15517.70,2.81M,-1.32%
8/3/2015,15241.8,15379.80,15517.70,15034.90,4.75M,-1.78%
8/4/2015,15034.9,15241.80,15379.80,15034.90,2.42M,-1.36%
8/5/2015,15241.8,15103.90,15379.80,15103.90,1.81M,1.38%
